Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0
sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0
ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0
wagon r,2011,2.85,4.15,52000,Petrol,Dealer,Manual,0
swift,2014,4.6,6.87,42450,Diesel,Dealer,Manual,0
vitara brezza,2018,9.25,9.83,2071,Diesel,Dealer,Automatic,0
ciaz,2015,6.75,8.12,18791,Petrol,Dealer,Manual,0
s cross,2015,6.5,8.61,33429,CNG,Dealer,Manual,0
ciaz,2016,8.75,8.89,20273,Diesel,Dealer,Manual,0
i20,2012,2.25,4.89,45000,Petrol,Individual,Manual,0
city,2016,8.85,12.5,41000,Petrol,Dealer,Automatic,0
fortuner,2015,18.5,35.96,78000,Diesel,Dealer,Automatic,0
innova,2017,19.99,25.39,25000,Diesel,Dealer,Automatic,0
corolla altis,2013,5.4,12.48,45000,Petrol,Dealer,Manual,0
swift,2017,6.0,7.6,15000,Petrol,Dealer,Manual,0
